Unnamed: 0,Car Title,Car Model,Car Transmission,Car km,Car Owner,Car Fuel type,Car Registration,Car price per month,Car Price,Car Location,location
0,2017 Maruti Alto K10,VXI OPT,Manual,"20,229 km",2nd Owner,Petrol,KA-04,"6,823/month","3,49,000","Bellahalli, Bengaluru",Bangalore
1,2015 Maruti Wagon R 1.0,VXI,Manual,"70,067 km",2nd Owner,Petrol,KA-13,"7,194/month","3,68,000","Bellahalli, Bengaluru",Bangalore
2,2014 Maruti Alto K10,VXI P,Manual,"60,867 km",1st Owner,Petrol,KA-05,"6,139/month","3,14,000","Bellahalli, Bengaluru",Bangalore
3,2015 Maruti Baleno,ALPHA DIESEL 1.3,Manual,"84,473 km",3rd Owner,Diesel,KA-20,"10,538/month","5,39,000","Bellahalli, Bengaluru",Bangalore
4,2021 Mahindra Scorpio,S5,Manual,"29,793 km",1st Owner,Diesel,KA-03,"27,181/month","14,28,000","Bellahalli, Bengaluru",Bangalore
5,2015 Hyundai Creta,SX PLUS 1.6 PETROL,Manual,"51,166 km",2nd Owner,Petrol,KA-05,"15,246/month","8,01,000","Bellahalli, Bengaluru",Bangalore
6,2020 Mahindra XUV 3OO,W4 1.2 PETROL,Manual,"13,631 km",1st Owner,Petrol,KA-18,"15,190/month","7,77,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
7,2015 Mahindra XUV500,W6,Manual,"54,990 km",1st Owner,Diesel,KA-03,"18,520/month","9,73,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
8,2019 Mahindra XUV500,W7,Manual,"1,47,557 km",1st Owner,Diesel,KA-09,"21,699/month","11,40,000","Bellahalli, Bengaluru",Bangalore
9,2010 Hyundai i10,SPORTZ 1.2,Manual,"43,529 km",2nd Owner,Petrol,KA-51,"5,279/month","2,70,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
10,2016 Mahindra XUV500,W10 AT,Automatic,"82,825 km",2nd Owner,Diesel,KA-03,"20,614/month","10,83,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
11,2020 Hyundai AURA,S 1.2,Manual,"21,742 km",1st Owner,Petrol,KA-05,"13,978/month","7,15,000","Hosur Road, Singasandra, Bengaluru",Bangalore
12,2022 Hyundai NEW I20 N LINE,N8 1.0 TURBO GDI IMT,Manual,"19,902 km",2nd Owner,Petrol,KA-01,"22,403/month","11,77,000","Horamavu Agara Road, Bengaluru",Bangalore
13,2020 Tata NEXON,XZA PLUS PETROL DUAL TONE,Automatic,"19,549 km",1st Owner,Petrol,KA-53,"21,071/month","11,07,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
14,2019 Volkswagen Polo,TRENDLINE 1.0L,Manual,"43,266 km",2nd Owner,Petrol,KA-03,"11,105/month","5,68,000","Sonnappanahalli
",Bangalore
15,2010 Maruti A Star,LXI,Manual,"57,664 km",1st Owner,Petrol,KA-02,"4,360/month","2,23,000","Bellahalli, Bengaluru",Bangalore
16,2012 Hyundai i10,SPORTZ 1.2 AT,Automatic,"38,408 km",2nd Owner,Petrol,KA-53,"7,566/month","3,87,000","GT World Mall, Bengaluru",Bangalore
17,2016 Maruti Swift,VXI,Manual,"63,411 km",1st Owner,Petrol,KA-41,"11,417/month","5,84,000","Bellahalli, Bengaluru",Bangalore
18,2021 Hyundai Verna,SX (O) 1.5 VTVT IVT,Automatic,"8,775 km",2nd Owner,Petrol,KA-04,"27,276/month","14,33,000","Bellahalli, Bengaluru",Bangalore
19,2016 Renault Kwid,RXT 0.8,Manual,"53,145 km",2nd Owner,Petrol,KA-02,"5,963/month","3,05,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
20,2018 Hyundai Verna,1.6 VTVT SX (O) AT,Automatic,"39,968 km",2nd Owner,Petrol,KA-05,"18,977/month","9,97,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
21,2022 Maruti Swift,VXI,Manual,"16,522 km",1st Owner,Petrol,KA-52,"15,132/month","7,74,000","Hosur Road, Singasandra, Bengaluru",Bangalore
22,2016 Maruti Vitara Brezza,VDI (O),Manual,"64,337 km",3rd Owner,Diesel,KA-50,"12,786/month","6,54,000","Bellahalli, Bengaluru",Bangalore
23,2020 Tata Tiago,XZ PLUS PETROL,Manual,"13,789 km",1st Owner,Petrol,KA-13,"13,411/month","6,86,000","Hosur Road, Singasandra, Bengaluru",Bangalore
24,2018 Hyundai Verna,1.4 E PETROL,Manual,"11,375 km",1st Owner,Petrol,KA-04,"15,341/month","8,06,000","Bellahalli, Bengaluru",Bangalore
25,2012 Maruti Alto 800,LXI,Manual,"73,938 km",1st Owner,Petrol,KA-04,"4,321/month","2,21,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
26,2017 Maruti Dzire,VXI,Manual,"39,070 km",1st Owner,Petrol,KA-03,"13,020/month","6,66,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
27,2017 Maruti Ciaz,ZXI AT,Automatic,"53,226 km",1st Owner,Petrol,KA-53,"13,275/month","6,79,000","Sonnappanahalli
",Bangalore
28,2018 Maruti Swift,ZXI PLUS AMT,Automatic,"8,506 km",2nd Owner,Petrol,KA-09,"12,942/month","6,62,000","Hosur Road, Singasandra, Bengaluru",Bangalore
29,2010 Nissan Micra,XL PETROL,Manual,"34,282 km",1st Owner,Petrol,KA-01,"4,477/month","2,29,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
30,2022 Maruti Swift,VXI,Manual,"8,857 km",2nd Owner,Petrol,KA-19,"14,057/month","7,19,000","GT World Mall, Bengaluru",Bangalore
31,2017 Maruti Ertiga,VXI,Manual,"62,538 km",1st Owner,Petrol,KA-03,"15,341/month","8,06,000","GT World Mall, Bengaluru",Bangalore
